number,created_at,merged_at,lead_time_hours,lead_time_days,author,title,url
135687,2025-12-10T04:34:05Z,2026-01-09T23:27:41Z,738.89,30.79,yashsingh74,Update CNI plugins to v1.9.0,https://github.com/kubernetes/kubernetes/pull/135687
136115,2026-01-08T20:48:45Z,2026-01-09T21:53:39Z,25.08,1.05,harche,Remove year from runtime_test.go file copyright notice,https://github.com/kubernetes/kubernetes/pull/136115
136085,2026-01-07T23:51:58Z,2026-01-09T15:21:49Z,39.5,1.65,richabanker,Log WatchList initial listing phase completion,https://github.com/kubernetes/kubernetes/pull/136085
136084,2026-01-07T23:25:48Z,2026-01-09T15:21:42Z,39.93,1.66,richabanker,Add auditID to Watch start logs,https://github.com/kubernetes/kubernetes/pull/136084
136041,2026-01-05T21:19:50Z,2026-01-09T20:43:41Z,95.4,3.97,richabanker,Update metrics docs 1.35,https://github.com/kubernetes/kubernetes/pull/136041
136140,2026-01-09T15:27:50Z,2026-01-09T17:39:42Z,2.2,0.09,pohly,E2E framework: fix nil pointer crash in TContext,https://github.com/kubernetes/kubernetes/pull/136140
136132,2026-01-09T10:43:35Z,2026-01-09T16:47:50Z,6.07,0.25,pohly,ktesting: avoid increasing default verbosity,https://github.com/kubernetes/kubernetes/pull/136132
136098,2026-01-08T10:15:12Z,2026-01-09T15:59:44Z,29.74,1.24,jsafrane,Automated cherry pick of #135629: selinux: Fix the controller to ignore finished pods,https://github.com/kubernetes/kubernetes/pull/136098
135664,2025-12-08T14:34:38Z,2026-01-08T14:01:47Z,743.45,30.98,pohly,DRA e2e: upgrade/downgrade refactor,https://github.com/kubernetes/kubernetes/pull/135664
136136,2026-01-09T13:20:36Z,2026-01-09T14:09:44Z,0.82,0.03,dims,Fix data race in devicemanager PluginDisconnected logging,https://github.com/kubernetes/kubernetes/pull/136136
136128,2026-01-09T09:29:17Z,2026-01-09T11:09:47Z,1.68,0.07,p0lyn0mial,kcm: remove WatchListClient feature gate override,https://github.com/kubernetes/kubernetes/pull/136128
136076,2026-01-07T17:15:41Z,2026-01-09T11:09:39Z,41.9,1.75,kannon92,[flake] wait for job suspended condition for JobMutable test cases,https://github.com/kubernetes/kubernetes/pull/136076
136124,2026-01-09T05:21:48Z,2026-01-09T09:35:42Z,4.23,0.18,MohammedMutee,Fix flaky typecheck by enforcing serial execution,https://github.com/kubernetes/kubernetes/pull/136124
136105,2026-01-08T12:46:40Z,2026-01-09T06:09:41Z,17.38,0.72,atiratree,Automated cherry pick of #135625: mark QuotaMonitor as not running and invalidate monitors list,https://github.com/kubernetes/kubernetes/pull/136105
135631,2025-12-05T17:02:20Z,2026-01-08T20:41:47Z,819.66,34.15,danwinship,Switch ipvs and winkernel back to more regular forced syncs,https://github.com/kubernetes/kubernetes/pull/135631
136106,2026-01-08T12:50:16Z,2026-01-09T02:49:40Z,13.99,0.58,atiratree,Automated cherry pick of #135625: mark QuotaMonitor as not running and invalidate monitors list,https://github.com/kubernetes/kubernetes/pull/136106
136104,2026-01-08T12:44:37Z,2026-01-09T02:49:40Z,14.08,0.59,atiratree,Automated cherry pick of #135625: mark QuotaMonitor as not running and invalidate monitors list,https://github.com/kubernetes/kubernetes/pull/136104
136093,2026-01-08T07:27:01Z,2026-01-08T23:41:39Z,16.24,0.68,pohly,Automated cherry pick of #135377: Fix race condition in DRA health e2e test pod status update,https://github.com/kubernetes/kubernetes/pull/136093
134909,2025-10-27T15:18:26Z,2026-01-08T21:41:43Z,1758.39,73.27,darshansreenivas,feat: wire network group for declarative validation and +k8s:required to IngressClassParametersReference.Name,https://github.com/kubernetes/kubernetes/pull/134909
